first_name,last_name,gender,birth_date,parent,city,address,student_email,parent_email,group,math_t1_1,math_t1_2,math_t1_3,math_t1_end,math_t2_1,math_t2_2,math_t2_3,math_t2_end,math_year,physics_t1_1,physics_t1_2,physics_t1_3,physics_t1_end,physics_t2_1,physics_t2_2,physics_t2_3,physics_t2_end,physics_year,chemistry_t1_1,chemistry_t1_2,chemistry_t1_3,chemistry_t1_end,chemistry_t2_1,chemistry_t2_2,chemistry_t2_3,chemistry_t2_end,chemistry_year,biology_t1_1,biology_t1_2,biology_t1_3,biology_t1_end,biology_t2_1,biology_t2_2,biology_t2_3,biology_t2_end,biology_year,english_t1_1,english_t1_2,english_t1_3,english_t1_end,english_t2_1,english_t2_2,english_t2_3,english_t2_end,english_year,history_t1_1,history_t1_2,history_t1_3,history_t1_end,history_t2_1,history_t2_2,history_t2_3,history_t2_end,history_year,geography_t1_1,geography_t1_2,geography_t1_3,geography_t1_end,geography_t2_1,geography_t2_2,geography_t2_3,geography_t2_end,geography_year,literature_t1_1,literature_t1_2,literature_t1_3,literature_t1_end,literature_t2_1,literature_t2_2,literature_t2_3,literature_t2_end,literature_year,sport_t1_1,sport_t1_2,sport_t1_3,sport_t1_end,sport_t2_1,sport_t2_2,sport_t2_3,sport_t2_end,sport_year,it_t1_1,it_t1_2,it_t1_3,it_t1_end,it_t2_1,it_t2_2,it_t2_3,it_t2_end,it_year
Amelia,Cook,Female,2010-02-18,Shannon Cook,Los Angeles,456 Elm St,amelia.cook@example.com,shannon.cook@example.com,group_c,3,5,4,4,4,3,6,5,,5,5,5,5,5,5,5,5,,4,3,4,4,6,5,4,5,,4,4,5,5,4,6,3,5,,6,3,6,5,6,3,6,5,,5,3,5,5,4,6,3,5,,6,4,5,5,3,6,5,5,,5,5,3,5,3,6,5,5,,3,3,5,4,4,4,5,5,,3,5,6,5,5,5,5,5,
Aria,Ward,Female,2010-06-01,Shirley Ward,Philadelphia,890 Cedar St,aria.ward@example.com,shirley.ward@example.com,group_c,5,3,6,5,4,3,4,4,,3,5,4,4,3,5,3,4,,5,5,3,5,5,4,6,5,,5,6,6,6,3,6,4,5,,5,5,4,5,6,3,5,5,,4,6,4,5,4,4,4,4,,6,3,6,5,6,6,5,6,,4,5,3,4,5,6,4,5,,4,4,4,4,6,4,5,5,,4,6,3,5,6,4,4,5,
Avery,Howard,Female,2010-05-09,Janet Howard,Phoenix,567 Maple St,avery.howard@example.com,janet.howard@example.com,group_c,5,5,3,5,5,5,4,5,,4,5,5,5,6,6,3,5,,4,5,5,5,6,3,5,5,,4,6,4,5,6,5,4,5,,6,5,6,6,3,6,5,5,,5,3,3,4,6,3,3,4,,4,3,6,5,3,3,3,3,,4,3,3,4,3,4,5,4,,3,3,5,4,3,5,4,4,,5,4,4,5,5,3,4,4,
Chloe,Nelson,Female,2010-09-17,Angela Nelson,Dallas,678 Spruce St,chloe.nelson@example.com,angela.nelson@example.com,group_c,4,3,5,4,6,4,3,5,,3,4,4,4,6,3,5,5,,6,4,5,5,3,4,5,4,,3,3,3,3,5,6,6,6,,3,4,4,4,3,3,5,4,,3,5,6,5,6,3,4,5,,4,6,5,5,4,4,4,4,,5,3,4,4,4,3,5,4,,6,5,6,6,4,3,6,5,,4,6,5,5,3,5,3,4,
Daniel,Henderson,Male,2010-12-15,Justin Henderson,Seattle,567 Oak St,daniel.henderson@example.com,justin.henderson@example.com,group_c,5,6,5,6,5,5,5,5,,5,6,6,6,3,4,4,4,,6,6,5,6,6,3,6,5,,4,6,6,6,3,6,5,5,,6,5,5,6,5,6,6,6,,3,5,3,4,3,6,4,5,,3,4,6,5,3,5,6,5,,5,6,4,5,5,3,4,4,,3,3,5,4,5,3,6,5,,4,6,6,6,5,6,3,5,
Eleanor,Sanders,Female,2010-12-20,Helen Sanders,Seattle,567 Oak St,eleanor.sanders@example.com,helen.sanders@example.com,group_c,4,3,6,5,6,4,5,5,,5,6,5,6,4,5,6,5,,4,6,3,5,5,5,4,5,,5,5,6,6,4,4,3,4,,3,5,4,4,6,4,4,5,,6,6,5,6,6,6,5,6,,4,6,5,5,6,6,3,5,,5,3,6,5,3,6,4,5,,4,6,6,6,4,5,4,5,,6,5,6,6,5,3,3,4,
Ella,Cox,Female,2010-04-22,Sarah Cox,Houston,234 Pine St,ella.cox@example.com,sarah.cox@example.com,group_c,3,6,5,5,3,3,3,3,,4,6,4,5,3,3,3,3,,5,3,4,4,3,5,5,5,,3,5,4,4,4,3,5,4,,6,6,4,6,5,3,4,4,,6,4,6,6,6,3,6,5,,4,3,5,4,3,5,4,4,,3,4,3,4,5,5,3,5,,3,3,6,4,5,5,3,5,,5,4,4,5,4,4,5,5,
Ethan,Bailey,Male,2010-04-18,Keith Bailey,Houston,234 Pine St,ethan.bailey@example.com,keith.bailey@example.com,group_c,6,3,6,5,3,5,5,5,,6,4,5,5,4,5,3,4,,5,5,3,5,3,3,3,3,,5,6,6,6,5,5,4,5,,6,6,4,6,5,6,5,6,,6,5,5,6,6,6,4,6,,3,6,3,4,6,4,4,5,,3,6,3,4,4,6,5,5,,5,4,6,5,5,4,5,5,,3,3,3,3,3,6,4,5,
Evelyn,Richardson,Female,2010-03-11,Ellen Richardson,Chicago,789 Oak St,evelyn.richardson@example.com,ellen.richardson@example.com,group_c,4,6,6,6,4,5,6,5,,5,5,5,5,6,3,5,5,,6,5,5,6,5,3,4,4,,6,4,6,6,3,4,5,4,,5,4,5,5,4,4,6,5,,4,4,6,5,3,3,5,4,,5,3,3,4,6,3,6,5,,5,6,3,5,5,3,3,4,,5,3,6,5,6,6,6,6,,4,3,5,4,6,6,4,6,
Jack,Fisher,Male,2010-11-01,Carl Fisher,San Francisco,234 Pine St,jack.fisher@example.com,carl.fisher@example.com,group_c,4,6,6,6,5,3,4,4,,3,4,6,5,6,4,5,5,,5,4,6,5,6,5,4,5,,4,3,6,5,3,3,5,4,,4,3,6,5,5,3,6,5,,4,3,6,5,4,3,5,4,,3,5,5,5,5,3,3,4,,4,4,5,5,5,6,3,5,,3,3,4,4,4,4,6,5,,6,6,4,6,4,5,3,4,
James,Butler,Male,2010-06-12,Adam Butler,Philadelphia,890 Cedar St,james.butler@example.com,adam.butler@example.com,group_c,6,4,6,6,5,6,3,5,,3,3,3,3,3,3,5,4,,5,4,5,5,6,6,5,6,,3,4,6,5,5,6,4,5,,3,3,6,4,3,3,5,4,,4,5,4,5,6,5,6,6,,5,6,3,5,6,4,3,5,,5,4,5,5,4,5,4,5,,4,6,4,5,5,6,6,6,,6,4,6,6,6,6,6,6,
Layla,Parker,Female,2010-08-13,Victoria Parker,San Diego,345 Birch St,layla.parker@example.com,victoria.parker@example.com,group_c,3,5,6,5,6,3,5,5,,6,3,3,4,5,5,5,5,,5,3,6,5,5,4,5,5,,4,4,3,4,6,4,6,6,,4,6,4,5,6,3,6,5,,4,5,6,5,4,6,3,5,,6,4,6,6,5,5,4,5,,6,6,4,6,6,3,3,4,,5,4,6,5,3,6,3,4,,3,3,5,4,4,6,5,5,
Levi,Morris,Male,2010-09-15,Joe Morris,Dallas,678 Spruce St,levi.morris@example.com,joe.morris@example.com,group_c,3,3,4,4,5,4,3,4,,3,5,6,5,3,5,6,5,,3,5,5,5,3,6,5,5,,6,5,6,6,6,4,6,6,,4,4,5,5,3,5,3,4,,3,6,4,5,6,3,5,5,,5,3,3,4,3,5,5,5,,5,3,6,5,5,5,4,5,,5,6,3,5,4,3,3,4,,4,3,6,5,3,3,4,4,
Logan,Cooper,Male,2010-02-22,Bruce Cooper,Los Angeles,456 Elm St,logan.cooper@example.com,bruce.cooper@example.com,group_c,4,3,3,4,4,5,3,4,,6,6,4,6,5,6,4,5,,4,4,3,4,3,3,3,3,,4,4,6,5,5,6,4,5,,6,4,6,6,6,6,3,5,,4,3,5,4,4,6,5,5,,3,5,5,5,3,5,6,5,,3,4,6,5,5,6,3,5,,3,6,4,5,3,4,6,5,,6,4,3,5,4,3,6,5,
Lucas,Foster,Male,2010-03-28,Derek Foster,Chicago,789 Oak St,lucas.foster@example.com,derek.foster@example.com,group_c,5,6,6,6,4,6,3,5,,4,6,5,5,3,4,6,5,,4,3,4,4,5,6,4,5,,3,3,4,4,6,3,3,4,,5,5,5,5,3,5,5,5,,5,3,5,5,6,6,5,6,,3,5,6,5,3,6,3,4,,5,4,5,5,3,4,4,4,,6,5,5,6,5,4,5,5,,6,3,3,4,3,5,5,5,
Madison,Bailey,Female,2010-11-23,Joan Bailey,San Francisco,234 Pine St,madison.bailey@example.com,joan.bailey@example.com,group_c,5,4,5,5,4,6,6,6,,3,3,3,3,3,5,3,4,,3,3,4,4,3,3,4,4,,4,3,5,4,5,6,5,6,,6,3,6,5,5,5,5,5,,5,5,4,5,3,4,5,4,,5,3,6,5,3,5,3,4,,3,4,6,5,3,6,4,5,,5,4,5,5,5,3,5,5,,4,3,4,4,4,3,4,4,
Mason,Morgan,Male,2010-01-17,Roger Morgan,New York,123 Main St,mason.morgan@example.com,roger.morgan@example.com,group_c,3,6,6,5,3,4,3,4,,4,5,5,5,3,3,6,4,,6,5,5,6,5,4,3,4,,4,3,6,5,5,3,3,4,,6,4,6,6,6,5,6,6,,5,4,6,5,4,6,4,5,,3,6,3,4,5,6,4,5,,5,6,4,5,3,6,6,5,,5,4,4,5,6,5,5,6,,6,6,3,5,3,5,4,4,
Mateo,Watson,Male,2010-10-05,Larry Watson,Austin,901 Elm St,mateo.watson@example.com,larry.watson@example.com,group_c,6,5,5,6,4,5,4,5,,6,6,6,6,5,4,3,4,,5,4,5,5,3,4,5,4,,3,4,3,4,6,6,5,6,,5,5,5,5,3,3,4,4,,6,3,6,5,3,3,4,4,,3,4,4,4,4,6,3,5,,5,6,6,6,3,3,3,3,,4,3,6,5,3,4,4,4,,3,3,4,4,4,6,3,5,
Nora,Barnes,Female,2010-01-27,Marie Barnes,Boston,890 Maple St,nora.barnes@example.com,marie.barnes@example.com,group_c,6,6,3,5,5,4,6,5,,6,4,6,6,6,5,6,6,,3,6,3,4,3,3,4,4,,3,3,4,4,4,3,4,4,,6,3,3,4,6,5,3,5,,3,4,5,4,3,5,6,5,,5,5,4,5,3,5,6,5,,3,5,3,4,4,4,4,4,,5,5,5,5,4,6,4,5,,4,6,4,5,6,6,6,6,
Owen,Sanders,Male,2010-08-25,Jason Sanders,San Diego,345 Birch St,owen.sanders@example.com,jason.sanders@example.com,group_c,3,3,3,3,6,3,6,5,,4,5,6,5,4,4,4,4,,4,5,4,5,5,5,5,5,,3,4,5,4,4,3,6,5,,5,3,5,5,4,4,4,4,,3,5,4,4,5,5,3,5,,5,4,6,5,5,6,4,5,,4,3,6,5,3,5,6,5,,6,3,6,5,5,5,3,5,,4,6,6,6,6,4,3,5,
Scarlett,Brooks,Female,2010-07-10,Anne Brooks,San Antonio,012 Walnut St,scarlett.brooks@example.com,anne.brooks@example.com,group_c,3,3,6,4,4,4,5,5,,3,5,3,4,6,6,6,6,,5,5,4,5,6,4,3,5,,4,5,4,5,6,6,4,6,,5,6,4,5,5,6,5,6,,6,6,3,5,4,6,4,5,,6,5,4,5,4,6,5,5,,5,5,5,5,4,6,6,6,,6,5,4,5,5,6,4,5,,5,6,5,6,6,3,5,5,
Sebastian,Barnes,Male,2010-07-02,Gary Barnes,San Antonio,012 Walnut St,sebastian.barnes@example.com,gary.barnes@example.com,group_c,6,3,4,5,4,6,6,6,,4,5,4,5,3,4,4,4,,4,3,4,4,4,6,6,6,,4,4,6,5,4,5,6,5,,4,5,5,5,5,3,6,5,,3,6,4,5,6,6,6,6,,3,6,5,5,5,5,6,6,,3,6,4,5,4,4,6,5,,5,3,6,5,5,5,5,5,,4,4,3,4,3,5,4,4,
Sophia,Reed,Female,2010-01-06,Rita Reed,New York,123 Main St,sophia.reed@example.com,rita.reed@example.com,group_c,5,3,6,5,4,6,3,5,,5,5,4,5,3,6,4,5,,4,4,3,4,3,5,6,5,,4,3,5,4,6,4,5,5,,3,3,3,3,3,4,3,4,,5,5,3,5,6,4,6,6,,6,6,5,6,3,3,5,4,,5,4,5,5,6,4,4,5,,5,3,3,4,3,4,4,4,,3,6,5,5,6,3,6,5,
Victoria,Bennett,Female,2010-10-12,Theresa Bennett,Austin,901 Elm St,victoria.bennett@example.com,theresa.bennett@example.com,group_c,3,6,5,5,4,3,6,5,,6,3,4,5,4,4,4,4,,5,5,4,5,6,5,6,6,,3,5,3,4,4,3,3,4,,6,4,4,5,5,4,5,5,,5,4,6,5,5,3,5,5,,5,6,3,5,3,4,3,4,,3,5,4,4,5,6,6,6,,4,5,5,5,4,3,5,4,,6,3,6,5,4,3,4,4,
William,Bell,Male,2010-01-04,Henry Bell,Boston,890 Maple St,william.bell@example.com,henry.bell@example.com,group_c,5,4,5,5,6,3,4,5,,3,6,5,5,6,5,5,6,,4,4,6,5,3,3,6,4,,5,3,6,5,5,4,3,4,,3,5,3,4,5,3,6,5,,5,3,5,5,3,3,5,4,,5,4,3,4,3,3,4,4,,3,3,6,4,4,6,4,5,,6,3,5,5,6,6,4,6,,5,3,4,4,3,6,4,5,
Aria,Jones,Female,2010-11-19,Katherine Jones,San Francisco,234 Pine St,aria.jones@example.com,katherine.jones@example.com,group_d,6,4,5,5,3,6,3,4,,3,3,3,3,3,3,6,4,,6,3,4,5,4,4,3,4,,4,5,4,5,3,3,3,3,,5,3,3,4,6,4,6,6,,6,6,5,6,6,3,5,5,,5,4,4,5,6,4,4,5,,4,6,6,6,6,4,6,6,,4,3,5,4,3,3,5,4,,6,6,6,6,5,4,4,5,
Avery,Garcia,Female,2010-05-22,Ruth Garcia,Phoenix,567 Maple St,avery.garcia@example.com,ruth.garcia@example.com,group_d,6,4,3,5,3,5,4,4,,6,3,3,4,5,3,4,4,,6,3,5,5,3,4,3,4,,3,3,3,3,4,3,4,4,,3,6,4,5,4,4,6,5,,3,5,4,4,5,5,3,5,,3,3,6,4,3,6,6,5,,4,5,6,5,3,4,4,4,,6,5,4,5,6,3,6,5,,6,4,5,5,4,3,3,4,
Carter,Peterson,Male,2010-05-29,Douglas Peterson,Phoenix,567 Maple St,carter.peterson@example.com,douglas.peterson@example.com,group_d,6,4,3,5,3,3,3,3,,3,3,6,4,3,3,4,4,,4,5,5,5,6,6,3,5,,5,4,5,5,3,5,4,4,,5,5,6,6,6,6,5,6,,3,4,5,4,3,6,3,4,,4,4,4,4,3,4,6,5,,5,4,6,5,4,4,3,4,,4,3,5,4,4,4,5,5,,6,3,6,5,5,3,6,5,
Chloe,Johnson,Female,2010-08-18,Alice Johnson,San Diego,345 Birch St,chloe.johnson@example.com,alice.johnson@example.com,group_d,5,4,3,4,3,5,5,5,,4,4,6,5,5,3,4,4,,6,4,3,5,3,6,3,4,,6,3,5,5,4,5,5,5,,3,3,4,4,6,4,5,5,,4,4,5,5,4,3,6,5,,6,5,3,5,5,4,4,5,,4,4,4,4,3,5,3,4,,5,6,6,6,5,3,5,5,,6,5,4,5,5,4,3,4,
David,Morgan,Male,2010-04-19,Arthur Morgan,Houston,234 Pine St,david.morgan@example.com,arthur.morgan@example.com,group_d,3,5,6,5,4,5,6,5,,6,4,4,5,3,4,3,4,,3,6,5,5,4,5,3,4,,6,6,3,5,5,6,6,6,,4,4,3,4,5,3,4,4,,3,6,3,4,4,5,3,4,,4,3,5,4,3,5,4,4,,6,4,5,5,5,4,3,4,,3,6,3,4,4,3,4,4,,3,6,5,5,4,4,6,5,
Dylan,Rogers,Male,2010-10-23,Andrew Rogers,Austin,901 Elm St,dylan.rogers@example.com,andrew.rogers@example.com,group_d,6,5,4,5,3,4,4,4,,3,6,5,5,6,4,4,5,,3,3,5,4,3,5,6,5,,3,3,3,3,5,4,4,5,,6,5,4,5,6,4,3,5,,5,3,6,5,4,5,5,5,,4,3,5,4,6,4,6,6,,3,5,4,4,4,4,5,5,,3,5,3,4,6,3,5,5,,3,3,6,4,5,4,4,5,
Eleanor,Anderson,Female,2010-01-30,Gloria Anderson,Boston,890 Maple St,eleanor.anderson@example.com,gloria.anderson@example.com,group_d,6,5,4,5,3,6,6,5,,4,4,5,5,4,4,5,5,,6,6,4,6,4,5,3,4,,3,5,6,5,5,4,3,4,,3,4,5,4,3,4,3,4,,6,4,3,5,3,3,3,3,,3,4,3,4,5,4,6,5,,3,5,4,4,4,4,4,4,,6,3,6,5,5,6,6,6,,5,5,3,5,4,3,6,5,
Ella,Henderson,Female,2010-04-17,Christina Henderson,Houston,234 Pine St,ella.henderson@example.com,christina.henderson@example.com,group_d,3,4,5,4,4,4,4,4,,4,6,6,6,5,6,3,5,,3,5,6,5,6,6,6,6,,3,3,5,4,5,4,6,5,,5,4,6,5,6,3,4,5,,5,4,3,4,6,6,5,6,,6,5,3,5,6,5,4,5,,6,4,5,5,6,3,3,4,,5,6,5,6,3,3,3,3,,6,3,6,5,6,6,3,5,
Evelyn,Reed,Female,2010-02-26,Wanda Reed,Los Angeles,456 Elm St,evelyn.reed@example.com,wanda.reed@example.com,group_d,3,4,4,4,6,6,6,6,,5,5,3,5,3,6,3,4,,4,4,6,5,5,5,3,5,,3,6,4,5,4,3,6,5,,4,5,6,5,5,5,6,6,,6,6,6,6,3,6,3,4,,6,6,4,6,3,4,6,5,,6,5,4,5,3,3,6,4,,4,6,6,6,3,4,3,4,,5,3,4,4,3,5,5,5,
Grace,Parker,Female,2010-07-12,Marilyn Parker,San Antonio,012 Walnut St,grace.parker@example.com,marilyn.parker@example.com,group_d,4,6,5,5,6,4,6,6,,5,5,6,6,5,3,3,4,,4,4,5,5,6,3,4,5,,4,3,4,4,6,5,6,6,,5,4,5,5,3,5,5,5,,3,3,4,4,5,5,5,5,,4,3,4,4,6,4,6,6,,5,4,6,5,6,5,4,5,,4,4,5,5,4,4,5,5,,6,5,4,5,6,6,5,6,
Harper,Richardson,Female,2010-03-13,Paula Richardson,Chicago,789 Oak St,harper.richardson@example.com,paula.richardson@example.com,group_d,3,6,5,5,5,6,4,5,,6,6,6,6,4,4,6,5,,6,3,6,5,6,3,5,5,,5,6,5,6,4,6,5,5,,5,6,3,5,6,4,4,5,,4,6,4,5,3,5,6,5,,5,6,5,6,5,5,3,5,,4,6,6,6,6,6,6,6,,4,3,5,4,6,4,5,5,,3,5,6,5,4,6,4,5,
Henry,Hughes,Male,2010-12-09,Phillip Hughes,Seattle,567 Oak St,henry.hughes@example.com,phillip.hughes@example.com,group_d,5,5,4,5,4,3,6,5,,4,3,6,5,4,3,6,5,,3,3,5,4,5,5,3,5,,5,5,3,5,3,5,6,5,,4,5,5,5,6,6,3,5,,5,5,3,5,4,5,6,5,,5,3,3,4,4,4,6,5,,6,4,3,5,4,4,6,5,,3,5,6,5,3,4,5,4,,4,5,3,4,4,6,4,5,
Isaac,Adams,Male,2010-01-08,Patrick Adams,Boston,890 Maple St,isaac.adams@example.com,patrick.adams@example.com,group_d,4,6,3,5,3,4,4,4,,3,4,6,5,3,6,4,5,,6,5,4,5,4,3,6,5,,6,4,6,6,5,3,6,5,,3,6,4,5,4,4,4,4,,6,3,5,5,6,3,6,5,,4,6,3,5,6,6,6,6,,4,5,3,4,4,4,5,5,,6,4,4,5,5,5,3,5,,5,6,5,6,3,5,3,4,
Jackson,Foster,Male,2010-01-19,Edward Foster,New York,123 Main St,jackson.foster@example.com,edward.foster@example.com,group_d,4,3,3,4,3,5,5,5,,4,3,4,4,3,4,5,4,,6,6,5,6,3,5,6,5,,4,4,6,5,4,4,5,5,,5,3,6,5,6,4,3,5,,4,3,5,4,4,6,3,5,,6,4,3,5,6,6,6,6,,5,4,6,5,5,5,5,5,,6,3,3,4,5,5,4,5,,5,4,6,5,5,4,3,4,
Jayden,Bell,Male,2010-07-11,Gerald Bell,San Antonio,012 Walnut St,jayden.bell@example.com,gerald.bell@example.com,group_d,5,4,4,5,5,5,5,5,,4,5,5,5,5,3,5,5,,3,3,5,4,3,3,4,4,,4,3,4,4,4,4,3,4,,6,5,4,5,5,5,3,5,,4,5,4,5,3,5,4,4,,3,5,4,4,6,3,5,5,,3,3,3,3,3,5,3,4,,5,5,5,5,3,3,3,3,,3,6,5,5,4,6,6,6,
John,Ward,Male,2010-08-28,Lawrence Ward,San Diego,345 Birch St,john.ward@example.com,lawrence.ward@example.com,group_d,4,3,4,4,3,4,3,4,,4,5,6,5,3,6,6,5,,4,3,5,4,3,3,3,3,,5,4,4,5,6,6,5,6,,3,4,5,4,3,4,3,4,,3,4,4,4,6,3,6,5,,5,3,6,5,6,3,4,5,,6,4,5,5,5,3,6,5,,5,3,4,4,5,4,6,5,,3,5,6,5,3,5,3,4,
Layla,Thompson,Female,2010-09-22,Evelyn Thompson,Dallas,678 Spruce St,layla.thompson@example.com,evelyn.thompson@example.com,group_d,6,6,5,6,6,5,5,6,,6,3,5,5,5,4,4,5,,6,6,3,5,6,6,3,5,,3,6,6,5,4,6,5,5,,5,6,4,5,6,6,4,6,,3,3,3,3,5,4,5,5,,6,5,4,5,3,4,4,4,,5,5,6,6,6,5,3,5,,4,6,6,6,6,6,6,6,,3,6,4,5,4,3,3,4,
Luke,Ramirez,Male,2010-11-15,Wayne Ramirez,San Francisco,234 Pine St,luke.ramirez@example.com,wayne.ramirez@example.com,group_d,6,4,3,5,6,3,5,5,,3,6,3,4,4,6,4,5,,3,5,3,4,4,3,5,4,,3,5,3,4,3,4,5,4,,6,6,6,6,6,6,4,6,,6,3,4,5,3,6,5,5,,5,6,3,5,5,4,6,5,,6,6,3,5,6,6,6,6,,6,3,6,5,3,3,6,4,,5,4,4,5,5,6,4,5,
Madison,Taylor,Female,2010-12-25,Martha Taylor,Seattle,567 Oak St,madison.taylor@example.com,martha.taylor@example.com,group_d,5,6,5,6,3,3,4,4,,6,6,4,6,3,4,3,4,,5,6,3,5,3,6,5,5,,5,4,3,4,3,5,3,4,,3,5,6,5,4,6,3,5,,4,4,6,5,3,5,6,5,,6,3,5,5,4,6,3,5,,3,6,6,5,6,6,5,6,,5,5,4,5,6,5,5,6,,5,5,6,6,5,4,6,5,
Mia,Butler,Female,2010-01-25,Louise Butler,New York,123 Main St,mia.butler@example.com,louise.butler@example.com,group_d,3,4,3,4,4,3,5,4,,4,3,5,4,4,6,5,5,,4,6,4,5,5,4,4,5,,6,4,5,5,5,5,4,5,,6,4,3,5,3,3,5,4,,3,4,3,4,6,4,3,5,,4,6,3,5,4,3,5,4,,4,3,3,4,5,4,6,5,,3,6,3,4,6,3,6,5,,4,3,4,4,5,6,5,6,
Owen,Gray,Male,2010-09-14,Norman Gray,Dallas,678 Spruce St,owen.gray@example.com,norman.gray@example.com,group_d,6,6,6,6,4,5,6,5,,3,3,3,3,5,5,6,6,,6,3,4,5,3,5,5,5,,4,3,4,4,6,5,3,5,,3,6,4,5,6,3,3,4,,6,4,4,5,5,6,6,6,,4,6,3,5,6,4,5,5,,4,4,3,4,3,3,5,4,,6,6,6,6,3,3,5,4,,3,6,5,5,5,5,3,5,
Samuel,Lee,Male,2010-02-24,Steven Lee,Los Angeles,456 Elm St,samuel.lee@example.com,steven.lee@example.com,group_d,5,3,4,4,6,5,5,6,,3,3,3,3,4,3,3,4,,6,3,5,5,4,5,5,5,,3,5,3,4,3,4,3,4,,4,4,3,4,4,6,5,5,,6,5,5,6,5,5,4,5,,4,6,3,5,3,3,4,4,,3,3,5,4,5,3,3,4,,3,4,3,4,4,4,3,4,,5,6,6,6,5,5,5,5,
Scarlett,Martinez,Female,2010-06-21,Doris Martinez,Philadelphia,890 Cedar St,scarlett.martinez@example.com,doris.martinez@example.com,group_d,3,6,5,5,4,3,3,4,,3,6,3,4,6,5,5,6,,5,3,6,5,5,3,5,5,,6,6,3,5,4,4,6,5,,5,3,4,4,6,5,6,6,,5,4,6,5,4,5,4,5,,3,6,4,5,3,6,4,5,,4,6,4,5,5,4,6,5,,6,4,6,6,6,3,5,5,,3,4,5,4,6,5,4,5,
Sebastian,Cooper,Male,2010-03-14,Ronald Cooper,Chicago,789 Oak St,sebastian.cooper@example.com,ronald.cooper@example.com,group_d,6,6,6,6,4,6,3,5,,3,4,4,4,3,3,6,4,,4,6,5,5,5,5,5,5,,6,5,5,6,5,4,4,5,,4,4,5,5,6,4,5,5,,5,5,4,5,3,5,5,5,,6,3,4,5,4,6,5,5,,5,4,4,5,4,4,5,5,,4,3,6,5,3,3,3,3,,3,6,6,5,6,5,5,6,
Victoria,Brown,Female,2010-10-27,Beverly Brown,Austin,901 Elm St,victoria.brown@example.com,beverly.brown@example.com,group_d,4,5,4,5,3,4,4,4,,4,5,6,5,4,6,3,5,,6,3,6,5,4,4,4,4,,4,5,5,5,3,5,5,5,,5,6,3,5,6,3,6,5,,5,5,3,5,6,4,6,6,,5,6,3,5,3,5,4,4,,3,3,4,4,3,6,6,5,,5,4,6,5,4,4,3,4,,5,6,6,6,5,5,6,6,
Wyatt,James,Male,2010-06-18,Roy James,Philadelphia,890 Cedar St,wyatt.james@example.com,roy.james@example.com,group_d,5,3,4,4,3,3,5,4,,4,6,4,5,4,4,4,4,,5,5,6,6,3,6,4,5,,4,6,4,5,3,6,4,5,,5,6,4,5,3,4,5,4,,5,5,4,5,4,6,4,5,,4,5,5,5,6,6,3,5,,6,3,6,5,6,6,6,6,,5,6,3,5,5,4,5,5,,5,4,6,5,4,6,4,5,
,,,,,,,,,,3,3,6,4,3,5,3,4,,6,6,6,6,5,4,5,5,,3,6,5,5,3,5,4,4,,6,4,6,6,6,6,5,6,,6,4,3,5,3,3,4,4,,6,4,4,5,3,3,3,3,,6,5,5,6,4,5,5,5,,6,4,4,5,6,4,3,5,,6,5,4,5,4,4,3,4,,3,4,3,4,6,3,5,5,
